IRI Week,Calendar week starting on,Calendar week ending on,,Calendar date,IRI Week
1659,"June 13, 2011","June 19, 2011",,,
1660,"June 20, 2011","June 26, 2011",,,
1661,"June 27, 2011","July 3, 2011",,,
1662,"July 4, 2011","July 10, 2011",,,
1663,"July 11, 2011","July 17, 2011",,,
1664,"July 18, 2011","July 24, 2011",,,
1665,"July 25, 2011","July 31, 2011",,,
1666,"August 1, 2011","August 7, 2011",,,
1667,"August 8, 2011","August 14, 2011",,,
1668,"August 15, 2011","August 21, 2011",,,
1669,"August 22, 2011","August 28, 2011",,,
1670,"August 29, 2011","September 4, 2011",,,
1671,"September 5, 2011","September 11, 2011",,,
1672,"September 12, 2011","September 18, 2011",,,
1673,"September 19, 2011","September 25, 2011",,,
1674,"September 26, 2011","October 2, 2011",,,
1675,"October 3, 2011","October 9, 2011",,,
1676,"October 10, 2011","October 16, 2011",,,
1677,"October 17, 2011","October 23, 2011",,,
1678,"October 24, 2011","October 30, 2011",,,
1679,"October 31, 2011","November 6, 2011",,,
1680,"November 7, 2011","November 13, 2011",,,
1681,"November 14, 2011","November 20, 2011",,,
1682,"November 21, 2011","November 27, 2011",,,
1683,"November 28, 2011","December 4, 2011",,,
1684,"December 5, 2011","December 11, 2011",,,
1685,"December 12, 2011","December 18, 2011",,,
1686,"December 19, 2011","December 25, 2011",,,
1687,"December 26, 2011","January 1, 2012",,,
1688,"January 2, 2012","January 8, 2012",,,
1689,"January 9, 2012","January 15, 2012",,,
1690,"January 16, 2012","January 22, 2012",,,
1691,"January 23, 2012","January 29, 2012",,,
1692,"January 30, 2012","February 5, 2012",,,
1693,"February 6, 2012","February 12, 2012",,,
1694,"February 13, 2012","February 19, 2012",,,
1695,"February 20, 2012","February 26, 2012",,,
1696,"February 27, 2012","March 4, 2012",,,
1697,"March 5, 2012","March 11, 2012",,,
1698,"March 12, 2012","March 18, 2012",,,
1699,"March 19, 2012","March 25, 2012",,,
1700,"March 26, 2012","April 1, 2012",,,
1701,"April 2, 2012","April 8, 2012",,,
1702,"April 9, 2012","April 15, 2012",,,
1703,"April 16, 2012","April 22, 2012",,,
1704,"April 23, 2012","April 29, 2012",,,
1705,"April 30, 2012","May 6, 2012",,,
1706,"May 7, 2012","May 13, 2012",,,
1707,"May 14, 2012","May 20, 2012",,,
1708,"May 21, 2012","May 27, 2012",,,
1709,"May 28, 2012","June 3, 2012",,,
1710,"June 4, 2012","June 10, 2012",,,
1711,"June 11, 2012","June 17, 2012",,,
1712,"June 18, 2012","June 24, 2012",,,
1713,"June 25, 2012","July 1, 2012",,,
1714,"July 2, 2012","July 8, 2012",,,
1715,"July 9, 2012","July 15, 2012",,,
1716,"July 16, 2012","July 22, 2012",,,
1717,"July 23, 2012","July 29, 2012",,,
1718,"July 30, 2012","August 5, 2012",,,
1719,"August 6, 2012","August 12, 2012",,,
1720,"August 13, 2012","August 19, 2012",,,
1721,"August 20, 2012","August 26, 2012",,,
1722,"August 27, 2012","September 2, 2012",,,
1723,"September 3, 2012","September 9, 2012",,,
1724,"September 10, 2012","September 16, 2012",,,
1725,"September 17, 2012","September 23, 2012",,,
1726,"September 24, 2012","September 30, 2012",,,
1727,"October 1, 2012","October 7, 2012",,,
1728,"October 8, 2012","October 14, 2012",,,
1729,"October 15, 2012","October 21, 2012",,,
1730,"October 22, 2012","October 28, 2012",,,
1731,"October 29, 2012","November 4, 2012",,,
1732,"November 5, 2012","November 11, 2012",,,
1733,"November 12, 2012","November 18, 2012",,,
1734,"November 19, 2012","November 25, 2012",,,
1735,"November 26, 2012","December 2, 2012",,,
1736,"December 3, 2012","December 9, 2012",,,
1737,"December 10, 2012","December 16, 2012",,,
1738,"December 17, 2012","December 23, 2012",,,
1739,"December 24, 2012","December 30, 2012",,,
1740,"December 31, 2012","January 6, 2013",,,
